massa
t	x	y
1.446444444E1	3.504784085E0	1.587547083E0
1.449775556E1	3.500690165E0	1.593193516E0
1.453108889E1	3.497858599E0	1.586965589E0
1.456441111E1	3.493778413E0	1.586267885E0
1.459774444E1	3.498085264E0	1.586458147E0
1.463107778E1	3.504864867E0	1.587333437E0
1.466441111E1	3.553919002E0	1.584404608E0
1.469773333E1	3.598422365E0	1.582141006E0
1.473106667E1	3.624678039E0	1.584310138E0
1.476438889E1	3.652889861E0	1.588850047E0
1.479772222E1	3.686314505E0	1.579626432E0
1.483104444E1	3.715274719E0	1.568500042E0
1.486437778E1	3.741632981E0	1.556220564E0
1.489770000E1	3.733243255E0	1.550707267E0
1.493102222E1	3.716929383E0	1.545818392E0
1.496436667E1	3.702400709E0	1.547832941E0
1.499768889E1	3.669907417E0	1.538732407E0
1.503102222E1	3.625377376E0	1.529195476E0
1.506434444E1	3.594491867E0	1.525922931E0
1.509767778E1	3.546966358E0	1.528841941E0
1.513100000E1	3.494521941E0	1.520326252E0
1.516432222E1	3.428826313E0	1.518186765E0
1.519766667E1	3.394972630E0	1.514952135E0
1.523098889E1	3.395823742E0	1.515236763E0
1.526432222E1	3.396958936E0	1.518685838E0
1.529763333E1	3.353438064E0	1.514769810E0
1.533096667E1	3.329261741E0	1.517462799E0
1.536430000E1	3.343925214E0	1.519008017E0
1.539763333E1	3.379100464E0	1.538308621E0
1.543094444E1	3.425819244E0	1.541106689E0
1.546427778E1	3.444716187E0	1.537573558E0
1.549761111E1	3.469224109E0	1.557193429E0
1.553094444E1	3.524658288E0	1.564494055E0
1.556425556E1	3.574489509E0	1.554677789E0
1.559758889E1	3.582780792E0	1.555709054E0
1.563092222E1	3.589966409E0	1.554383967E0
1.566426667E1	3.619268297E0	1.542640722E0
1.569757778E1	3.663868199E0	1.533796058E0
1.573091111E1	3.695983269E0	1.529995845E0
1.576423333E1	3.687595412E0	1.520638881E0
1.579756667E1	3.671842397E0	1.524729890E0
1.583088889E1	3.655891032E0	1.528755891E0
1.586422222E1	3.642832758E0	1.525603965E0
1.589755556E1	3.620671445E0	1.525649890E0
1.593090000E1	3.595410283E0	1.513834530E0
1.596420000E1	3.570133047E0	1.512897990E0
1.599753333E1	3.546201227E0	1.511925514E0
1.603085556E1	3.523548696E0	1.512824640E0
1.606418889E1	3.499362630E0	1.529389686E0
1.609751111E1	3.520859730E0	1.532922160E0
1.613084444E1	3.540910579E0	1.531356354E0
1.616416667E1	3.529495482E0	1.532800785E0
1.619748889E1	3.550018609E0	1.538138421E0
1.623082222E1	3.589893806E0	1.541164962E0
1.626415556E1	3.629003047E0	1.548736379E0
1.629748889E1	3.671350059E0	1.556627269E0
1.633082222E1	3.698085668E0	1.550902166E0
1.636414444E1	3.697340759E0	1.549980647E0
1.639746667E1	3.707518869E0	1.560325927E0
1.643081111E1	3.750148114E0	1.557523566E0
1.646413333E1	3.769810111E0	1.557535246E0
1.649745556E1	3.767305229E0	1.553624506E0
1.653078889E1	3.765387280E0	1.548437394E0
1.656412222E1	3.748734548E0	1.553714951E0
1.659744444E1	3.766873624E0	1.547086995E0
1.663076667E1	3.753146992E0	1.522273825E0
1.666410000E1	3.700990976E0	1.519233495E0
1.669743333E1	3.671441367E0	1.522725739E0
1.673075556E1	3.648918120E0	1.508723869E0
1.676408889E1	3.643871929E0	1.497232615E0
1.679741111E1	3.621222801E0	1.505228985E0
1.683074444E1	3.596783047E0	1.506370425E0
1.686406667E1	3.593247908E0	1.505733712E0
1.689738889E1	3.592967019E0	1.515923533E0
1.693071111E1	3.600802616E0	1.506068328E0
1.696404444E1	3.626367212E0	1.508945513E0
1.699737778E1	3.647781838E0	1.529202876E0
1.703070000E1	3.650109438E0	1.514377846E0
1.706403333E1	3.679098389E0	1.525416326E0
1.709736667E1	3.722983958E0	1.532289334E0
1.713068889E1	3.771110460E0	1.527140686E0
1.716401111E1	3.792379598E0	1.535239033E0
1.719734444E1	3.801455135E0	1.540939176E0
1.723067778E1	3.815670391E0	1.564441470E0
1.726401111E1	3.799591884E0	1.565443315E0
1.729732222E1	3.791816376E0	1.567975400E0
1.733065556E1	3.796588349E0	1.574856099E0
1.736398889E1	3.802803498E0	1.569174542E0
1.739732222E1	3.775760971E0	1.567198670E0
1.743064444E1	3.743916468E0	1.561968885E0
1.746397778E1	3.724280582E0	1.563179491E0
1.749731111E1	3.701704923E0	1.558737937E0
1.753063333E1	3.673381975E0	1.546331388E0
1.756395556E1	3.646620289E0	1.550385831E0
1.759728889E1	3.623735309E0	1.552612788E0
1.763062222E1	3.624069572E0	1.553320343E0
1.766394444E1	3.633461465E0	1.553238396E0
